head_type,model,rank,layer,head,score
copy_suppression,mhc_lite,11,13,12,0.17123079299926758
copy_suppression,mhc_lite,12,8,9,0.1619410514831543
copy_suppression,mhc_lite,13,11,13,0.16128873825073242
copy_suppression,mhc_lite,14,7,12,0.1580052375793457
copy_suppression,mhc_lite,15,11,10,0.1415848731994629
copy_suppression,mhc_lite,16,7,16,0.1414012908935547
copy_suppression,mhc_lite,17,7,1,0.13580560684204102
copy_suppression,mhc_lite,18,6,16,0.13072967529296875
copy_suppression,mhc_lite,19,2,8,0.12680459022521973
copy_suppression,mhc_lite,20,8,6,0.12321972846984863
