layer,head,score,baseline_logp_target,baseline_logp_distractor,ablated_logp_target,ablated_logp_distractor,delta_target,delta_distractor
10,17,0.003528,-4.116848,-4.017983,-4.088668,-4.014455,-0.028180,0.003528
10,18,0.011746,-4.116848,-4.017983,-4.133666,-4.006237,0.016818,0.011746
10,19,-0.017652,-4.116848,-4.017983,-4.129640,-4.035635,0.012792,-0.017652
11,0,0.041294,-4.116848,-4.017983,-4.108091,-3.976689,-0.008757,0.041294
11,1,-0.178699,-4.116848,-4.017983,-4.285669,-4.196682,0.168821,-0.178699
11,2,-0.016822,-4.116848,-4.017983,-4.106243,-4.034806,-0.010605,-0.016822
11,3,-0.383498,-4.116848,-4.017983,-4.381291,-4.401482,0.264443,-0.383498
11,4,0.032905,-4.116848,-4.017983,-4.073583,-3.985078,-0.043265,0.032905
11,5,0.312811,-4.116848,-4.017983,-3.810442,-3.705172,-0.306406,0.312811
11,6,0.004074,-4.116848,-4.017983,-4.143608,-4.013910,0.026760,0.004074
11,7,-0.061192,-4.116848,-4.017983,-4.189352,-4.079175,0.072504,-0.061192
11,8,-0.149107,-4.116848,-4.017983,-4.295344,-4.167090,0.178496,-0.149107
11,9,0.273911,-4.116848,-4.017983,-3.807720,-3.744072,-0.309128,0.273911
11,10,-0.019551,-4.116848,-4.017983,-4.084107,-4.037534,-0.032741,-0.019551
11,11,0.236209,-4.116848,-4.017983,-3.783934,-3.781774,-0.332914,0.236209
11,12,0.010441,-4.116848,-4.017983,-4.075388,-4.007543,-0.041460,0.010441
11,13,0.076118,-4.116848,-4.017983,-4.164613,-3.941865,0.047765,0.076118
11,14,0.018396,-4.116848,-4.017983,-4.071784,-3.999588,-0.045064,0.018396
11,15,0.057223,-4.116848,-4.017983,-4.023364,-3.960760,-0.093484,0.057223
11,16,0.007702,-4.116848,-4.017983,-4.105133,-4.010281,-0.011715,0.007702
11,17,0.008804,-4.116848,-4.017983,-4.065835,-4.009179,-0.051013,0.008804
11,18,0.032460,-4.116848,-4.017983,-4.094101,-3.985524,-0.022747,0.032460
11,19,-0.656991,-4.116848,-4.017983,-4.622993,-4.674974,0.506145,-0.656991
12,0,0.012680,-4.116848,-4.017983,-4.090645,-4.005303,-0.026203,0.012680
12,1,0.010067,-4.116848,-4.017983,-4.061821,-4.007916,-0.055027,0.010067
12,2,-0.052415,-4.116848,-4.017983,-4.196120,-4.070399,0.079272,-0.052415
12,3,0.010631,-4.116848,-4.017983,-4.096454,-4.007353,-0.020394,0.010631
12,4,0.012368,-4.116848,-4.017983,-4.096194,-4.005616,-0.020654,0.012368
12,5,0.016882,-4.116848,-4.017983,-4.071595,-4.001101,-0.045253,0.016882
