layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
18,14,0.145630,0.145630,3.857038,3.857939,0.000901,0.571627,0.737135,0.571627
18,15,0.127808,0.127808,3.857038,3.857825,0.000786,0.408901,0.726008,0.408901
18,16,0.233398,0.233398,3.857038,3.858322,0.001284,0.895688,0.763560,0.763560
18,17,0.142822,0.142822,3.857038,3.857757,0.000719,0.546592,0.720445,0.546592
18,18,0.246338,0.246338,3.857038,3.855779,-0.001260,0.920723,0.210014,0.210014
18,19,0.193848,0.193848,3.857038,3.857210,0.000171,0.815021,0.618915,0.618915
19,0,0.130127,0.130127,3.857038,3.859650,0.002611,0.440890,0.824757,0.440890
19,1,0.161255,0.161255,3.857038,3.857651,0.000612,0.681502,0.706537,0.681502
19,2,0.094177,0.094177,3.857038,3.859615,0.002576,0.184979,0.821975,0.184979
19,3,0.079041,0.079041,3.857038,3.856306,-0.000732,0.109875,0.254520,0.109875
19,4,0.117310,0.117310,3.857038,3.856922,-0.000116,0.343533,0.381085,0.343533
19,5,0.100525,0.100525,3.857038,3.856775,-0.000264,0.225313,0.329624,0.225313
19,6,0.103210,0.103210,3.857038,3.855765,-0.001274,0.248957,0.208623,0.208623
19,7,0.152832,0.152832,3.857038,3.858868,0.001829,0.627260,0.792768,0.627260
19,8,0.097595,0.097595,3.857038,3.861014,0.003976,0.205841,0.866481,0.205841
19,9,0.108459,0.108459,3.857038,3.856820,-0.000218,0.292072,0.343533,0.292072
19,10,0.155762,0.155762,3.857038,3.857058,0.000019,0.645341,0.517385,0.517385
19,11,0.155640,0.155640,3.857038,3.854977,-0.002061,0.643950,0.172462,0.172462
19,12,0.146362,0.146362,3.857038,3.857961,0.000922,0.575800,0.741307,0.575800
19,13,0.134155,0.134155,3.857038,3.856046,-0.000993,0.478442,0.222531,0.222531
19,14,0.101685,0.101685,3.857038,3.860718,0.003680,0.229485,0.860918,0.229485
19,15,0.071350,0.071350,3.857038,3.857492,0.000454,0.068150,0.678720,0.068150
19,16,0.117920,0.117920,3.857038,3.857538,0.000500,0.346314,0.687065,0.346314
19,17,0.121521,0.121521,3.857038,3.857773,0.000735,0.369958,0.721836,0.369958
19,18,0.130493,0.130493,3.857038,3.855526,-0.001512,0.442281,0.196106,0.196106
19,19,0.193481,0.193481,3.857038,3.858314,0.001275,0.810848,0.760779,0.760779
20,0,0.159180,0.159180,3.857038,3.858753,0.001715,0.664812,0.787204,0.664812
20,1,0.219604,0.219604,3.857038,3.854112,-0.002927,0.876217,0.147427,0.147427
20,2,0.012161,0.012161,3.857038,3.846633,-0.010405,0.001391,0.047288,0.001391
20,3,0.151245,0.151245,3.857038,3.858331,0.001292,0.607789,0.764951,0.607789
20,4,0.277832,0.277832,3.857038,3.859811,0.002772,0.949930,0.833102,0.833102
20,5,0.202271,0.202271,3.857038,3.856571,-0.000467,0.838665,0.292072,0.292072
20,6,0.136597,0.136597,3.857038,3.856191,-0.000847,0.495132,0.239221,0.239221
20,7,0.173584,0.173584,3.857038,3.856520,-0.000519,0.745480,0.279555,0.279555
20,8,0.153320,0.153320,3.857038,3.865926,0.008887,0.631433,0.931850,0.631433
20,9,0.139038,0.139038,3.857038,3.852887,-0.004151,0.513213,0.115438,0.115438
20,10,0.123657,0.123657,3.857038,3.876039,0.019001,0.381085,0.968011,0.381085
20,11,0.157471,0.157471,3.857038,3.856579,-0.000459,0.655077,0.294854,0.294854
20,12,0.126221,0.126221,3.857038,3.858401,0.001363,0.397775,0.770515,0.397775
20,13,0.225952,0.225952,3.857038,3.858725,0.001686,0.888734,0.783032,0.783032
20,14,0.142822,0.142822,3.857038,3.857470,0.000431,0.547983,0.677330,0.547983
20,15,0.142578,0.142578,3.857038,3.856228,-0.000810,0.541029,0.246175,0.246175
20,16,0.108215,0.108215,3.857038,3.856105,-0.000934,0.285118,0.232267,0.232267
20,17,0.170776,0.170776,3.857038,3.858966,0.001927,0.731572,0.795549,0.731572
20,18,0.129150,0.129150,3.857038,3.856086,-0.000953,0.424200,0.229485,0.229485
20,19,0.101807,0.101807,3.857038,3.857602,0.000564,0.230876,0.699583,0.230876
21,0,0.057220,0.057220,3.857038,3.856696,-0.000343,0.034771,0.312935,0.034771
21,1,0.129395,0.129395,3.857038,3.856051,-0.000987,0.429764,0.223922,0.223922
21,2,0.131348,0.131348,3.857038,3.856950,-0.000088,0.447844,0.403338,0.403338
21,3,0.217896,0.217896,3.857038,3.857056,0.000018,0.873435,0.515994,0.515994
21,4,0.136230,0.136230,3.857038,3.857045,0.000007,0.490960,0.502086,0.490960
21,5,0.148682,0.148682,3.857038,3.856066,-0.000972,0.586926,0.225313,0.225313
21,6,0.143188,0.143188,3.857038,3.857133,0.000095,0.550765,0.582754,0.550765
21,7,0.132935,0.132935,3.857038,3.856638,-0.000400,0.464534,0.301808,0.301808
21,8,0.030441,0.030441,3.857038,3.857220,0.000182,0.012517,0.621697,0.012517
21,9,0.064575,0.064575,3.857038,3.857049,0.000011,0.043115,0.506259,0.043115
21,10,0.059875,0.059875,3.857038,3.856199,-0.000839,0.036161,0.240612,0.036161
21,11,0.102417,0.102417,3.857038,3.857050,0.000011,0.236439,0.507650,0.236439
21,12,0.072144,0.072144,3.857038,3.857169,0.000131,0.076495,0.603616,0.076495
21,13,0.114624,0.114624,3.857038,3.856868,-0.000170,0.329624,0.360223,0.329624
21,14,0.086975,0.086975,3.857038,3.856837,-0.000202,0.151599,0.349096,0.151599
21,15,0.140869,0.140869,3.857038,3.857083,0.000045,0.527121,0.547983,0.527121
21,16,0.066589,0.066589,3.857038,3.856561,-0.000478,0.048679,0.287900,0.048679
21,17,0.156982,0.156982,3.857038,3.856878,-0.000161,0.649513,0.367177,0.367177
21,18,0.089783,0.089783,3.857038,3.857064,0.000026,0.166898,0.522949,0.166898
21,19,0.098755,0.098755,3.857038,3.856870,-0.000168,0.214186,0.361613,0.214186
22,0,0.134155,0.134155,3.857038,3.858405,0.001367,0.477051,0.771905,0.477051
22,1,0.217041,0.217041,3.857038,3.857543,0.000505,0.870654,0.691238,0.691238
22,2,0.190918,0.190918,3.857038,3.858322,0.001283,0.802503,0.762170,0.762170
22,3,0.105896,0.105896,3.857038,3.857609,0.000570,0.268428,0.702364,0.268428
22,4,0.290527,0.290527,3.857038,3.858454,0.001416,0.961057,0.773296,0.773296
22,5,0.118774,0.118774,3.857038,3.858695,0.001657,0.349096,0.781641,0.349096
22,6,0.083435,0.083435,3.857038,3.859730,0.002692,0.132128,0.828929,0.132128
22,7,0.164795,0.164795,3.857038,3.857643,0.000605,0.699583,0.703755,0.699583
22,8,0.211426,0.211426,3.857038,3.856381,-0.000658,0.860918,0.264256,0.264256
22,9,0.193481,0.193481,3.857038,3.857648,0.000610,0.812239,0.705146,0.705146
22,10,0.190918,0.190918,3.857038,3.858108,0.001069,0.801113,0.749652,0.749652
22,11,0.156982,0.156982,3.857038,3.856079,-0.000959,0.650904,0.226704,0.226704
22,12,0.094299,0.094299,3.857038,3.857565,0.000527,0.186370,0.695410,0.186370
22,13,0.130859,0.130859,3.857038,3.857081,0.000042,0.445063,0.543811,0.445063
22,14,0.084229,0.084229,3.857038,3.857182,0.000144,0.134910,0.610570,0.134910
22,15,0.173828,0.173828,3.857038,3.857375,0.000337,0.748261,0.667594,0.667594
22,16,0.131348,0.131348,3.857038,3.857530,0.000491,0.449235,0.685675,0.449235
22,17,0.167358,0.167358,3.857038,3.857106,0.000067,0.713491,0.567455,0.567455
22,18,0.085632,0.085632,3.857038,3.857350,0.000311,0.143255,0.655077,0.143255
22,19,0.192139,0.192139,3.857038,3.858391,0.001353,0.809458,0.769124,0.769124
23,0,0.212158,0.212158,3.857038,3.856828,-0.000211,0.865090,0.346314,0.346314
23,1,0.060547,0.060547,3.857038,3.856981,-0.000058,0.037552,0.421419,0.037552
23,2,0.087524,0.087524,3.857038,3.857094,0.000055,0.157163,0.559110,0.157163
23,3,0.079224,0.079224,3.857038,3.856261,-0.000777,0.111266,0.247566,0.111266
23,4,0.191284,0.191284,3.857038,3.856671,-0.000367,0.805285,0.307371,0.307371
23,5,0.168091,0.168091,3.857038,3.857209,0.000171,0.717663,0.617524,0.617524
23,6,0.113586,0.113586,3.857038,3.855884,-0.001155,0.319889,0.215577,0.215577
23,7,0.073364,0.073364,3.857038,3.857608,0.000570,0.082058,0.700974,0.082058
23,8,0.140259,0.140259,3.857038,3.856909,-0.000129,0.524339,0.374131,0.374131
23,9,0.081970,0.081970,3.857038,3.857045,0.000006,0.125174,0.500695,0.125174
23,10,0.132812,0.132812,3.857038,3.856913,-0.000126,0.461752,0.375522,0.375522
23,11,0.073181,0.073181,3.857038,3.857165,0.000127,0.080668,0.599444,0.080668
23,12,0.070312,0.070312,3.857038,3.856956,-0.000082,0.063978,0.407510,0.063978
23,13,0.137695,0.137695,3.857038,3.857418,0.000379,0.503477,0.671766,0.503477
23,14,0.108276,0.108276,3.857038,3.857251,0.000212,0.287900,0.627260,0.287900
23,15,0.198730,0.198730,3.857038,3.856200,-0.000838,0.831711,0.242003,0.242003
23,16,0.091919,0.091919,3.857038,3.856997,-0.000041,0.178025,0.433936,0.178025
23,17,0.188477,0.188477,3.857038,3.857521,0.000483,0.791377,0.684284,0.684284
23,18,0.118713,0.118713,3.857038,3.856714,-0.000325,0.347705,0.317107,0.317107
23,19,0.073059,0.073059,3.857038,3.856565,-0.000474,0.079277,0.290682,0.079277
24,0,0.072449,0.072449,3.857038,3.857081,0.000042,0.077886,0.542420,0.077886
24,1,0.250244,0.250244,3.857038,3.856988,-0.000051,0.923505,0.425591,0.425591
24,2,0.204590,0.204590,3.857038,3.857025,-0.000013,0.840056,0.475661,0.475661
24,3,0.149170,0.149170,3.857038,3.857112,0.000074,0.589708,0.568846,0.568846
24,4,0.070190,0.070190,3.857038,3.857073,0.000035,0.062587,0.534075,0.062587
24,5,0.152222,0.152222,3.857038,3.857056,0.000017,0.617524,0.511822,0.511822
24,6,0.231934,0.231934,3.857038,3.857302,0.000264,0.892907,0.641168,0.641168
24,7,0.086609,0.086609,3.857038,3.857080,0.000041,0.147427,0.541029,0.147427
24,8,0.076233,0.076233,3.857038,3.857077,0.000039,0.095967,0.539638,0.095967
24,9,0.145386,0.145386,3.857038,3.857115,0.000077,0.568846,0.571627,0.568846
24,10,0.264404,0.264404,3.857038,3.857028,-0.000011,0.940195,0.479833,0.479833
24,11,0.099365,0.099365,3.857038,3.857165,0.000126,0.221140,0.598053,0.221140
24,12,0.071533,0.071533,3.857038,3.857069,0.000031,0.075104,0.528512,0.075104
24,13,0.071350,0.071350,3.857038,3.857023,-0.000015,0.069541,0.474270,0.069541
24,14,0.071533,0.071533,3.857038,3.856964,-0.000075,0.073713,0.411683,0.073713
24,15,0.195190,0.195190,3.857038,3.857074,0.000036,0.820584,0.535466,0.535466
24,16,0.163696,0.163696,3.857038,3.857304,0.000265,0.694019,0.643950,0.643950
24,17,0.071472,0.071472,3.857038,3.857088,0.000050,0.072323,0.554937,0.072323
24,18,0.107178,0.107178,3.857038,3.856994,-0.000045,0.278164,0.429764,0.278164
24,19,0.098816,0.098816,3.857038,3.857038,-0.000001,0.215577,0.495132,0.215577
25,0,0.193848,0.193848,3.857038,3.856826,-0.000213,0.813630,0.344923,0.344923
25,1,0.135742,0.135742,3.857038,3.857368,0.000329,0.489569,0.663421,0.489569
25,2,0.171753,0.171753,3.857038,3.857696,0.000657,0.735744,0.713491,0.713491
25,3,0.238159,0.238159,3.857038,3.857393,0.000354,0.908206,0.670376,0.670376
